;svs_x;epoch_h_x;Vtec
0;G32;16.925;
1;G32;16.933333333333334;
2;G32;16.941666666666666;
3;G32;16.95;
4;G32;16.958333333333332;
5;G32;16.966666666666665;
6;G32;16.975;
7;G32;16.983333333333334;
8;G32;16.991666666666667;
9;G32;17.0;
10;G32;17.008333333333333;
11;G32;17.016666666666666;
12;G32;17.025;
13;G32;17.033333333333335;
14;G32;17.041666666666668;
15;G32;17.05;
16;G32;17.058333333333334;
17;G32;17.066666666666666;
18;G32;17.075;
19;G32;17.083333333333332;
20;G32;17.091666666666665;
21;G32;17.1;
22;G32;17.108333333333334;
23;G32;17.116666666666667;
24;G32;17.125;
25;G32;17.133333333333333;
26;G32;17.141666666666666;
27;G32;17.15;
28;G32;17.158333333333335;
29;G32;17.166666666666668;
30;G32;17.175;
31;G32;17.183333333333334;
32;G32;17.191666666666666;
33;G32;17.2;
34;G32;17.208333333333332;
35;G32;17.216666666666665;
36;G32;17.225;
37;G32;17.233333333333334;
38;G32;17.241666666666667;
39;G32;17.25;
40;G32;17.258333333333333;
41;G32;17.266666666666666;
42;G32;17.275;
43;G32;17.283333333333335;
44;G32;17.291666666666668;
45;G32;17.3;
46;G32;17.308333333333334;
47;G32;17.316666666666666;
48;G32;17.325;
49;G32;17.333333333333332;
50;G32;17.341666666666665;
51;G32;17.35;
52;G32;17.358333333333334;
53;G32;17.366666666666667;
54;G32;17.375;
55;G32;17.383333333333333;
56;G32;17.391666666666666;
57;G32;17.4;
58;G32;17.408333333333335;
59;G32;17.416666666666668;
60;G32;17.425;
61;G32;17.433333333333334;
62;G32;17.441666666666666;
63;G32;17.45;
64;G32;17.458333333333332;
65;G32;17.466666666666665;
66;G32;17.475;
67;G32;17.483333333333334;
68;G32;17.491666666666667;
69;G32;17.5;
70;G32;17.508333333333333;
71;G32;17.516666666666666;
72;G32;17.525;
73;G32;17.533333333333335;
74;G32;17.541666666666668;
75;G32;17.55;
76;G32;17.558333333333334;
77;G32;17.566666666666666;
78;G32;17.575;
79;G32;17.583333333333332;
80;G32;17.591666666666665;
81;G32;17.6;
82;G32;17.608333333333334;
83;G32;17.616666666666667;
84;G32;17.625;
85;G32;17.633333333333333;
86;G32;17.641666666666666;
87;G32;17.65;
88;G32;17.658333333333335;
89;G32;17.666666666666668;
90;G32;17.675;
91;G32;17.683333333333334;
92;G32;17.691666666666666;
93;G32;17.7;
94;G32;17.708333333333332;
95;G32;17.716666666666665;
96;G32;17.725;
97;G32;17.733333333333334;
98;G32;17.741666666666667;
99;G32;17.75;
100;G32;17.758333333333333;
101;G32;17.766666666666666;
102;G32;17.775;
103;G32;17.783333333333335;
104;G32;17.791666666666668;
105;G32;17.8;
106;G32;17.808333333333334;
107;G32;17.816666666666666;
108;G32;17.825;
109;G32;17.833333333333332;
110;G32;17.841666666666665;
111;G32;17.85;
112;G32;17.858333333333334;
113;G32;17.866666666666667;
114;G32;17.875;
115;G32;17.883333333333333;
116;G32;17.891666666666666;
117;G32;17.9;
118;G32;17.908333333333335;
119;G32;17.916666666666668;
120;G32;17.925;
121;G32;17.933333333333334;
122;G32;17.941666666666666;
123;G32;17.95;
124;G32;17.958333333333332;
125;G32;17.966666666666665;
126;G32;17.975;
127;G32;17.983333333333334;
128;G32;17.991666666666667;
129;G32;18.0;
130;G32;18.008333333333333;
131;G32;18.016666666666666;
132;G32;18.025;
133;G32;18.033333333333335;
134;G32;18.041666666666668;
135;G32;18.05;
136;G32;18.058333333333334;
137;G32;18.066666666666666;
138;G32;18.075;
139;G32;18.083333333333332;
140;G32;18.091666666666665;
141;G32;18.1;
142;G32;18.108333333333334;
143;G32;18.116666666666667;
144;G32;18.125;
145;G32;18.133333333333333;
146;G32;18.141666666666666;
147;G32;18.15;
148;G32;18.158333333333335;
149;G32;18.166666666666668;
150;G32;18.175;
151;G32;18.183333333333334;
152;G32;18.191666666666666;
153;G32;18.2;
154;G32;18.208333333333332;
155;G32;18.216666666666665;
156;G32;18.225;
157;G32;18.233333333333334;
158;G32;18.241666666666667;
159;G32;18.25;
160;G32;18.258333333333333;
161;G32;18.266666666666666;
162;G32;18.275;
163;G32;18.283333333333335;
164;G32;18.291666666666668;
165;G32;18.3;
166;G32;18.308333333333334;
167;G32;18.316666666666666;
168;G32;18.325;
169;G32;18.333333333333332;
170;G32;18.341666666666665;
171;G32;18.35;
172;G32;18.358333333333334;
173;G32;18.366666666666667;
174;G32;18.375;
175;G32;18.383333333333333;
176;G32;18.391666666666666;
177;G32;18.4;
178;G32;18.408333333333335;
179;G32;18.416666666666668;
180;G32;18.425;
181;G32;18.433333333333334;
182;G32;18.441666666666666;
183;G32;18.45;
184;G32;18.458333333333332;
185;G32;18.466666666666665;
186;G32;18.475;
187;G32;18.483333333333334;
188;G32;18.491666666666667;
189;G32;18.5;343141.71992650215
190;G32;18.508333333333333;344085.1355621507
191;G32;18.516666666666666;345074.95703277027
192;G32;18.525;345954.86968856386
193;G32;18.533333333333335;346906.80368596164
194;G32;18.541666666666668;347764.8729607783
195;G32;18.55;348669.0773827554
196;G32;18.558333333333334;349625.3212875152
197;G32;18.566666666666666;350462.92851642915
198;G32;18.575;351264.51649609854
199;G32;18.583333333333332;352109.2457839463
200;G32;18.591666666666665;352906.72826333536
201;G32;18.6;353798.21803731134
202;G32;18.608333333333334;354631.5019462936
203;G32;18.616666666666667;355461.7372323605
204;G32;18.625;356255.12416142895
205;G32;18.633333333333333;357161.9148087213
206;G32;18.641666666666666;357951.7667314534
207;G32;18.65;358766.5994924303
