;ELE;epoch;SVS
3125;44.18;8850;7
3135;44.349;8880;7
3145;44.519;8910;7
3155;44.688;8940;7
3165;44.858;8970;7
3175;45.028;9000;7
3185;45.197;9030;7
3195;45.366;9060;7
3205;45.536;9090;7
3215;45.705;9120;7
3225;45.875;9150;7
3235;46.045;9180;7
3245;46.215;9210;7
3255;46.385;9240;7
3265;46.555;9270;7
3274;46.726;9300;7
3283;46.897;9330;7
3292;47.067;9360;7
3301;47.238;9390;7
3310;47.409;9420;7
3319;47.581;9450;7
3329;47.752;9480;7
3339;47.924;9510;7
3349;48.095;9540;7
3359;48.267;9570;7
3369;48.439;9600;7
3379;48.61;9630;7
3389;48.782;9660;7
3399;48.953;9690;7
3409;49.125;9720;7
3419;49.296;9750;7
3429;49.468;9780;7
3439;49.64;9810;7
3449;49.812;9840;7
3459;49.985;9870;7
3469;50.157;9900;7
3479;50.33;9930;7
3489;50.503;9960;7
3499;50.676;9990;7
3509;50.849;10020;7
3519;51.023;10050;7
3529;51.196;10080;7
3539;51.37;10110;7
3549;51.544;10140;7
3559;51.718;10170;7
3569;51.892;10200;7
3579;52.065;10230;7
3589;52.239;10260;7
3599;52.412;10290;7
3609;52.586;10320;7
3619;52.759;10350;7
3630;52.933;10380;7
3641;53.108;10410;7
3652;53.282;10440;7
3663;53.456;10470;7
3674;53.631;10500;7
3685;53.806;10530;7
3695;53.981;10560;7
3705;54.156;10590;7
3715;54.331;10620;7
3725;54.507;10650;7
3735;54.683;10680;7
3745;54.858;10710;7
3755;55.034;10740;7
3765;55.211;10770;7
3775;55.387;10800;7
3785;55.562;10830;7
3795;55.737;10860;7
3805;55.913;10890;7
3815;56.088;10920;7
3825;56.264;10950;7
3835;56.44;10980;7
3845;56.616;11010;7
3855;56.792;11040;7
3865;56.969;11070;7
3875;57.145;11100;7
3885;57.322;11130;7
3895;57.499;11160;7
3905;57.676;11190;7
3915;57.853;11220;7
3925;58.031;11250;7
3935;58.208;11280;7
3945;58.386;11310;7
3955;58.564;11340;7
3965;58.742;11370;7
3975;58.92;11400;7
3985;59.097;11430;7
3995;59.273;11460;7
4005;59.451;11490;7
4015;59.628;11520;7
4025;59.805;11550;7
4035;59.983;11580;7
4045;60.16;11610;7
4055;60.338;11640;7
4065;60.516;11670;7
4075;60.694;11700;7
4085;60.872;11730;7
4095;61.051;11760;7
4105;61.229;11790;7
4115;61.408;11820;7
4125;61.586;11850;7
4135;61.765;11880;7
4145;61.944;11910;7
4155;62.123;11940;7
4165;62.302;11970;7
4175;62.482;12000;7
4185;62.659;12030;7
4195;62.837;12060;7
4205;63.015;12090;7
4215;63.193;12120;7
4225;63.371;12150;7
4235;63.55;12180;7
4245;63.728;12210;7
4255;63.906;12240;7
4265;64.085;12270;7
4275;64.264;12300;7
4285;64.442;12330;7
4295;64.621;12360;7
4305;64.8;12390;7
4315;64.979;12420;7
4325;65.158;12450;7
4335;65.337;12480;7
4345;65.516;12510;7
4355;65.695;12540;7
4365;65.874;12570;7
4375;66.053;12600;7
4385;66.231;12630;7
4395;66.408;12660;7
4405;66.585;12690;7
4415;66.763;12720;7
4425;66.94;12750;7
4435;67.117;12780;7
4445;67.295;12810;7
4455;67.472;12840;7
4465;67.649;12870;7
4475;67.827;12900;7
4485;68.004;12930;7
4495;68.181;12960;7
4505;68.358;12990;7
4515;68.535;13020;7
4525;68.712;13050;7
4535;68.889;13080;7
4545;69.066;13110;7
4555;69.243;13140;7
4565;69.42;13170;7
4575;69.596;13200;7
4585;69.77;13230;7
4595;69.945;13260;7
4605;70.118;13290;7
4615;70.292;13320;7
4625;70.466;13350;7
4635;70.639;13380;7
4645;70.812;13410;7
4655;70.985;13440;7
4665;71.158;13470;7
4675;71.33;13500;7
4685;71.502;13530;7
4695;71.674;13560;7
4705;71.846;13590;7
4715;72.017;13620;7
4725;72.188;13650;7
4735;72.358;13680;7
4745;72.529;13710;7
4755;72.698;13740;7
4765;72.867;13770;7
4775;73.036;13800;7
4786;73.202;13830;7
4797;73.367;13860;7
4808;73.532;13890;7
4819;73.696;13920;7
4830;73.86;13950;7
4841;74.023;13980;7
4852;74.185;14010;7
4863;74.347;14040;7
4874;74.508;14070;7
4885;74.668;14100;7
4896;74.828;14130;7
4907;74.986;14160;7
4918;75.144;14190;7
4929;75.301;14220;7
4940;75.457;14250;7
4951;75.611;14280;7
4962;75.765;14310;7
4973;75.918;14340;7
4984;76.07;14370;7
4995;76.22;14400;7
5006;76.367;14430;7
5017;76.512;14460;7
5028;76.655;14490;7
5039;76.798;14520;7
5050;76.939;14550;7
5061;77.078;14580;7
5072;77.216;14610;7
5083;77.352;14640;7
5094;77.486;14670;7
5105;77.619;14700;7
5116;77.749;14730;7
5127;77.878;14760;7
5138;78.005;14790;7
5149;78.13;14820;7
5160;78.252;14850;7
5171;78.372;14880;7
5182;78.49;14910;7
5193;78.606;14940;7
5204;78.718;14970;7
5215;78.829;15000;7
5226;78.933;15030;7
5236;79.034;15060;7
5246;79.133;15090;7
5256;79.228;15120;7
5266;79.321;15150;7
5276;79.41;15180;7
5286;79.496;15210;7
5296;79.579;15240;7
5306;79.658;15270;7
5316;79.733;15300;7
5326;79.805;15330;7
5337;79.873;15360;7
5348;79.937;15390;7
5359;79.997;15420;7
5370;80.053;15450;7
5381;80.105;15480;7
5392;80.152;15510;7
5403;80.196;15540;7
5414;80.235;15570;7
5425;80.269;15600;7
5436;80.296;15630;7
5447;80.318;15660;7
5458;80.335;15690;7
5469;80.348;15720;7
5480;80.356;15750;7
5491;80.36;15780;7
5502;80.359;15810;7
5513;80.353;15840;7
5524;80.342;15870;7
5535;80.327;15900;7
5546;80.306;15930;7
5557;80.281;15960;7
5569;80.252;15990;7
5581;80.218;16020;7
5593;80.179;16050;7
5605;80.135;16080;7
5617;80.087;16110;7
5629;80.035;16140;7
5641;79.978;16170;7
5653;79.916;16200;7
5665;79.848;16230;7
5677;79.775;16260;7
5689;79.698;16290;7
5701;79.617;16320;7
5713;79.532;16350;7
5725;79.444;16380;7
5737;79.351;16410;7
5749;79.255;16440;7
5761;79.155;16470;7
5773;79.052;16500;7
5785;78.945;16530;7
5797;78.835;16560;7
5809;78.721;16590;7
5821;78.605;16620;7
5833;78.485;16650;7
5845;78.362;16680;7
5857;78.237;16710;7
5868;78.108;16740;7
5879;77.977;16770;7
5890;77.843;16800;7
5901;77.705;16830;7
5912;77.564;16860;7
5923;77.42;16890;7
5934;77.274;16920;7
5945;77.126;16950;7
5956;76.976;16980;7
5967;76.824;17010;7
5978;76.669;17040;7
5989;76.513;17070;7
6000;76.354;17100;7
6011;76.194;17130;7
6022;76.032;17160;7
6033;75.868;17190;7
6044;75.703;17220;7
6055;75.535;17250;7
6066;75.367;17280;7
6077;75.196;17310;7
6088;75.024;17340;7
6099;74.851;17370;7
6110;74.676;17400;7
6121;74.498;17430;7
6132;74.319;17460;7
6143;74.139;17490;7
6154;73.958;17520;7
6165;73.775;17550;7
6176;73.591;17580;7
6188;73.406;17610;7
6200;73.22;17640;7
6212;73.033;17670;7
6224;72.845;17700;7
6236;72.656;17730;7
6248;72.466;17760;7
6260;72.275;17790;7
6272;72.083;17820;7
6284;71.89;17850;7
6296;71.696;17880;7
6308;71.501;17910;7
6320;71.306;17940;7
6332;71.109;17970;7
6344;70.912;18000;7
6356;70.713;18030;7
6368;70.514;18060;7
6380;70.314;18090;7
6392;70.113;18120;7
6404;69.911;18150;7
6416;69.709;18180;7
6427;69.506;18210;7
6438;69.302;18240;7
6449;69.098;18270;7
6460;68.893;18300;7
6471;68.688;18330;7
6482;68.482;18360;7
6493;68.275;18390;7
6504;68.068;18420;7
6515;67.86;18450;7
6526;67.652;18480;7
6537;67.444;18510;7
6548;67.234;18540;7
6559;67.025;18570;7
6570;66.815;18600;7
6581;66.604;18630;7
6592;66.392;18660;7
6603;66.18;18690;7
6614;65.968;18720;7
6625;65.755;18750;7
6636;65.541;18780;7
6647;65.328;18810;7
6658;65.114;18840;7
6669;64.899;18870;7
6680;64.684;18900;7
6691;64.469;18930;7
6702;64.254;18960;7
6713;64.038;18990;7
6724;63.822;19020;7
6735;63.605;19050;7
6747;63.388;19080;7
6759;63.171;19110;7
6771;62.953;19140;7
6783;62.735;19170;7
6795;62.517;19200;7
6807;62.298;19230;7
6819;62.079;19260;7
6831;61.86;19290;7
6842;61.641;19320;7
6853;61.421;19350;7
6864;61.201;19380;7
6875;60.98;19410;7
6886;60.76;19440;7
6897;60.539;19470;7
6908;60.318;19500;7
6919;60.096;19530;7
6930;59.875;19560;7
6941;59.653;19590;7
6952;59.431;19620;7
6963;59.208;19650;7
6974;58.986;19680;7
6985;58.763;19710;7
6996;58.54;19740;7
7007;58.317;19770;7
7018;58.094;19800;7
7029;57.87;19830;7
7040;57.647;19860;7
7051;57.423;19890;7
7062;57.199;19920;7
7073;56.974;19950;7
7084;56.75;19980;7
7095;56.525;20010;7
7106;56.301;20040;7
7117;56.076;20070;7
7128;55.851;20100;7
7139;55.625;20130;7
7150;55.4;20160;7
7161;55.174;20190;7
7172;54.948;20220;7
7183;54.723;20250;7
7194;54.497;20280;7
7205;54.27;20310;7
7216;54.044;20340;7
7227;53.818;20370;7
7238;53.591;20400;7
7249;53.365;20430;7
7260;53.138;20460;7
7271;52.911;20490;7
7282;52.685;20520;7
7293;52.458;20550;7
7303;52.23;20580;7
7313;52.003;20610;7
7323;51.776;20640;7
7333;51.549;20670;7
7343;51.321;20700;7
7353;51.093;20730;7
7363;50.866;20760;7
7373;50.638;20790;7
7383;50.41;20820;7
