Time;L1C;L2C;sTec;Azimuth;Elevation;Lat;Lon;vTec;sTec Trend;sTec-Trend;vTec Trend;vTec-Trend;
2022-06-19 16:48:00;129017947.889;100533524.227;-135.6003328369894;275.06826165239517;12.388115356958872;42.55934028000484;65.20171460933882;-36.92372379580428;;;;;
2022-06-19 16:48:30;128932194.222;100466703.29;-135.8379279568462;275.2163992519807;12.546729055791749;42.58933997385425;65.29815363864316;-37.12945721798;;;;;
2022-06-19 16:49:00;128846488.257;100399919.523;-136.07461748488515;275.36457652736317;12.705453898327121;42.618855333976015;65.3938474303073;-37.33675956617428;;;;;
2022-06-19 16:49:30;128760829.461;100333172.56;-136.4250483666433;275.5127926156277;12.864290724009757;42.647893499373225;65.48880089978772;-37.577201723508594;;;;;
2022-06-19 16:50:00;128675218.823;100266463.09;-136.6994403473146;275.66104665608503;13.023240373681467;42.67646151115165;65.58301902171804;-37.798666957380604;;;;;
2022-06-19 16:50:30;128589656.141;100199790.974;-136.94056724335005;275.8093377902944;13.18230368955703;42.70456631283015;65.67650682570911;-38.012781408074176;;;;;
2022-06-19 16:51:00;128504142.652;100133157.174;-137.14402178923362;275.95766516208687;13.341481515200039;42.732214750706056;65.76926939225915;-38.21820465575556;;;;;
2022-06-19 16:51:30;128418677.734;100066561.243;-137.39737408616838;276.10602791758845;13.500774695498487;42.75941357427256;65.86131184877351;-38.4393073630976;;;;;
2022-06-19 16:52:00;128333261.876;100000003.471;-137.48901919099774;276.25442520524405;13.66018407664027;42.786169436685526;65.95263936569489;-38.61681512645542;;;;;
2022-06-19 16:52:30;128247895.687;99933484.453;-137.6989336086353;276.4028561758413;13.819710506088406;42.81248889527717;66.04325715274287;-38.829132558006116;;;;;
2022-06-19 16:53:00;128162579.428;99867004.361;-137.95418764484177;276.5513199825349;13.979354832556181;42.83837841211386;66.1331704552628;-39.056002142902344;;;;;
2022-06-19 16:53:30;128077313.159;99800563.188;-138.12984075947674;276.69981578087106;14.139117905982053;42.863844354595734;66.22238455068369;-39.2620590572724;;;;;
2022-06-19 16:54:00;127992097.331;99734161.295;-138.24814024567814;276.8483427288123;14.299000577504415;42.88889299609561;66.31090474508372;-39.4533754569153;;;;;
2022-06-19 16:54:30;127906932.579;99667799.206;-138.37694446932304;276.9968999867628;14.459003699436149;42.91353051663475;66.39873636986316;-39.649190537294935;;;;;
2022-06-19 16:55:00;127821818.77;99601476.821;-138.524705667986;277.1454867175935;14.61912812523901;42.93776300359338;66.48588477852343;-39.8519644290046;;;;;
2022-06-19 16:55:30;127736756.483;99535194.573;-138.64919332357664;277.294102086668;14.77937470949789;42.961596452453556;66.57235534355117;-40.049557324887;;;;;
