Time;L1C;L2C;sTec;Azimuth;Elevation;Lat;Lon;vTec;sTec Trend;sTec-Trend;vTec Trend;vTec-Trend;
2022-06-18 07:23:30;114631684.969;89323401.016;-23.54796565194412;195.20832883264353;44.0866694761289;39.56365035114031;77.50840031620064;-13.302351604406303;-23.49645602593408;-0.05150962601004139;-13.32722457504124;0.024872970634937985;
2022-06-18 07:24:00;114719821.384;89392078.69;-23.42716071041123;195.10985948348525;43.848665266064536;39.53934125162962;77.50718551755746;-13.177301530183144;-23.353893933394293;-0.0732667770169364;-13.190354975109512;0.01305344492636884;
2022-06-18 07:24:30;114808343.054;89461056.53;-23.230347112097544;195.01250882532946;43.61070893725359;39.5148689897382;77.50594709369308;-13.010280390318883;-23.20941602893908;-0.02093108315846237;-13.053168153750708;0.042887763431824766;
2022-06-18 07:25:00;114897247.988;89530333.048;-23.104953829232755;194.91625470499906;43.372805623102984;39.49023142873961;77.5046852350407;-12.884053921921929;-23.064191519147062;-0.04076231008569309;-12.916242121320334;0.032188199398405004;
2022-06-18 07:25:30;114986533.497;89599906.089;-22.91227575861386;194.82107538130407;43.13496036649887;39.46542640071932;77.50340013358593;-12.721094488004326;-22.917840060891404;0.005564302277544897;-12.779408221085514;0.0583137330811887;
2022-06-18 07:26:00;115076195.389;89669772.46;-22.823136073659555;194.7269495158915;42.897178121804856;39.44045170604712;77.5020919829363;-12.616321641193244;-22.767678106089555;-0.055457967569999767;-12.641219696587438;0.02489805539419443;
2022-06-18 07:26:30;115166234.393;89739932.655;-22.665413506826347;194.63385616430722;42.65946375680746;39.41530511284031;77.50076097839265;-12.47425537785292;-22.615992755402047;-0.049420751424300136;-12.50290752017066;0.028652142317740825;
2022-06-18 07:27:00;115256646.293;89810383.44;-22.558101780555127;194.54177476726576;42.421822054610764;39.38998435641769;77.49940731702216;-12.360597547408727;-22.462707540018986;-0.09539424053614098;-12.364474807472217;0.0038772600634899845;
2022-06-18 07:27:30;115347427.263;89881121.76;-22.32989459257127;194.4506851421237;42.18425771548149;39.36448713874417;77.49803119773327;-12.181531899082112;-22.30885281454357;-0.02104177802770124;-12.226458132469816;0.04492623338770407;
2022-06-18 07:28:00;115438576.229;89952146.853;-22.154845158539658;194.36056747455183;41.946775358646306;39.338811127865945;77.49663282135256;-12.032466779270083;-22.152176690062447;-0.002668468477210695;-12.087671372676603;0.055204593406520175;
