Time;L1C;L2C;sTec;Azimuth;Elevation;Lat;Lon;vTec;sTec Trend;sTec-Trend;vTec Trend;vTec-Trend;
2022-06-18 14:28:00;125608082.92;97876475.634;;186.6635722983573;16.1907609792412;34.25501294153195;77.37357177651707;;;;;;
2022-06-18 14:28:30;125489065.3;97783734.824;-110.58535105879729;186.64457199314498;16.41052191547281;34.3331802971625;77.38671987447236;-33.302907620771315;;;;;
2022-06-18 14:29:00;125370136.086;97691062.901;-111.03117014168541;186.62580283867018;16.630620765689898;34.41040072761576;77.3996708269619;-33.62750760834642;;;;;
2022-06-18 14:29:30;125251298.143;97598462.118;-111.5228721415029;186.60726234664355;16.851056815155772;34.48668737245813;77.41242802724184;-33.96928490346034;;;;;
2022-06-18 14:30:00;125132554.272;97505934.618;-111.9684195574826;186.58894801337618;17.07182934590991;34.562053263347295;77.42499482393758;-34.30028432795786;;;;;
2022-06-18 14:30:30;125013907.642;97413482.867;-112.36002432126524;186.57085731941712;17.292937636637053;34.63651132016175;77.43737452104567;-34.61786411445515;;;;;
2022-06-18 14:31:00;124895361.023;97321108.989;-112.6176328040114;186.55298772918343;17.514380962535746;34.71007434742462;77.44957037797185;-34.89693004729578;;;;;
2022-06-18 14:31:30;124776916.898;97228815.046;-113.0368881675328;186.5353366905823;17.736158595186197;34.78275503101202;77.46158560960318;-35.228899809940515;;;;;
2022-06-18 14:32:00;124658579.177;97136603.97;-113.35106545138046;186.51790163462502;17.95826980241723;34.85456593513538;77.47342338641297;-35.53103022660854;;;;;
2022-06-18 14:32:30;124540349.858;97044477.305;-113.53022023971363;186.50067997503254;18.180713848172722;34.92551949958745;77.4850868345967;-35.793305736761276;;;;;
2022-06-18 14:33:00;124422232.236;96952437.726;-113.82414259624396;186.4836691078331;18.403489992377192;34.99562803724201;77.49657903623708;-36.09418804045932;;;;;
2022-06-18 14:33:30;124304228.962;96860487.251;-114.12192891992984;186.46686641095064;18.62659749080068;35.06490373179667;77.50790302949744;-36.39892667917001;;;;;
2022-06-18 14:34:00;124186342.87;96768628.097;-114.44377354310737;186.4502692437848;18.850035594922904;35.13335863574916;77.51906180884102;-36.714013746891524;;;;;
2022-06-18 14:34:30;124068577.025;96676862.633;-114.74478969630105;186.4338749467816;19.07380355179665;35.20100466859711;77.5300583252752;-37.02509268825669;;;;;
