coyq	Coyhaique                                    	Chile                           	288.1079	-45.5143	476	G2                 
crao	Simeiz                                       	Ukraine                         	33.991	44.4133	365.8	UNAVCO             
crfp	Yucaipa                                      	USA                             	242.9	34.04	688.83	USGS               
cro1	Christiansted                                	U.S. Virgin Islands (USA)       	295.4157	17.7569	-31.9558	JPL                
csn1	Northridge                                   	USA                             	241.48	34.25	261.44	USGS               
cusv	Patumwan                                     	Thailand                        	100.5339	13.7359	76.06	DUT                
daej	Daejeon                                      	Korea                           	127.3745	36.3994	117.037	KASI               
daka	Dakar                                        	Senegal                         	342.5352	14.685	63.1	GFZ                
darr	Darwin                                       	Australia                       	131.1327	-12.8438	125.197	GA                 
darw	Darwin                                       	Australia                       	131.1327	-12.8437	125.1965	GA                 
dav1	Davis                                        	Antarctica                      	77.9726	-68.5773	44.5	GA                 
dgar	Diego Garcia Island                          	U.K. Territory                  	72.3702	-7.2697	-64.7455	JPL                
dgav	Diego Garcia Island                          	U.K. Territory                  	72.3702	-7.2697	-64.7455	JPL                
dhlg	Durmid Hill                                  	USA                             	244.21	33.39	-83.05	USGS               
dlft	Delft                                        	Netherlands                     	4.3876	51.986	74.3	TUD/DEOS           
drag	Metzoki dragot                               	Israel                          	35.3924	31.5929	120.3	GSM                
drao	Penticton                                    	Canada                          	240.375	49.3226	542	GSC                
dubo	LAC DU BONNET                                	CANADA                          	264.1338	50.2588	251	NRCan              
dubr	Dubrovnik                                    	Croatia                         	18.1104	42.65	454.3	CGI                
dum1	"Antarctic base of ""Dumont d'Urville""         "	Antarctica                      	140.0019	-66.6651	-1.4	ENS/CNRS           
dund	Dunedin                                      	New Zealand                     	170.5972	-45.8837	389	GNS                
dyr2	Diyarbakir                                   	Turkey                          	40.2764	37.9157	500	UNV-JPL-GCM        
ebre	Roquetes                                     	Spain                           	0.4924	40.8209	107.9	ICC                
eil1	Fairbanks                                    	USA                             	212.887	64.6879	176.6	NGA                
eil2	Fairbanks                                    	USA                             	212.887	64.6879	176.6	NGA                
eprt	Eastport                                     	USA                             	293.0079	44.9087	30.988	NOAA-NGS           
escu	Escuminac                                    	Canada                          	295.2013	47.0734	-16.02	NRCan/GSD          
esti	Esteli                                      	Nicaragua                       	273.6379	13.0995	852.67	  INETER                     
faa1	Faaa                                         	"Tahiti, French Polynesia        "	210.3857	-17.5553	12.35	ESOC               
fair	Fairbanks                                    	USA                             	212.5008	64.978	319.1771	JPL                
fale	Faleolo                                      	Samoa                           	188.0005	-13.8322	48	GNS                
falk	Port Stanley                                 	Falkland Islands                	302.1259	-51.6937	50.8407	JPL                
ffmj	Frankfurt / Main                             	Germany                         	8.665	50.0906	178.2	BKG                
flin	CFS FLIN FLON                                	CANADA                          	258.022	54.7256	320	NRCan              
flrs	Santa Cruz das Flores                        	Portugal                        	328.8736	39.4538	79.9	IGP                
func	Funchal                                      	Portugal                        	343.0924	32.6479	78.5	IGP                
ganp	Ganovce                                      	Slovakia                        	20.3229	49.0347	745.2	GKU                
geno	Genova                                       	Italy                           	8.9211	44.4194	137	ASI                
glps	Puerto Ayora                                 	Ecuador                         	269.6963	-0.743	1.7946	JPL                
glsv	Kiev                                         	Ukraine                         	30.4967	50.3642	226.8	MAO                
gmas	Maspalomas                                   	Spain                           	344.5324	27.7648	195.4	JAXA               
gmsd	Nakatane town                                	Japan                           	131.0156	30.5564	142.3645	JAXA               
gode	Greenbelt                                    	USA                             	283.1732	39.0217	14.5046	JPL                
godz	Greenbelt                                    	USA                             	283.1732	39.0217	14.509	JPL                
gol2	Goldstone                                    	USA                             	243.1107	35.4252	986.6779	JPL                
gold	Goldstone                                    	USA                             	243.1107	35.4252	986.6779	JPL                
gope	Ondrejov                                     	Czech Republic                  	14.7856	49.9137	592.6	RIGTC GOP          
goug	Gough Island                                 	dependent territory of the U.K. 	350.1333	-40.3488	81.3	AWI                
gras	Caussols                                     	France                          	6.9206	43.7547	1320.3	CNES               
graz	Graz                                         	Austria                         	15.4935	47.0671	538.3	BEV                
guam	Dededo                                       	Guam                            	144.8683	13.5893	201.922	JPL                
guao	URUMQI                                       	CHINA                           	87.1773	43.4711	2049.2	UAO                
guat	Guatemala City                               	Guatemala                       	269.4798	14.5904	1519.868	IGN-GT             
guug	Mangilao                                     	USA                             	144.8027	13.4332	134.71	NOAA-NGS           
haly	Halat Ammar                                  	Saudi Arabia                    	36.0999	29.1389	861.6765	MIT                
harb	Pretoria                                     	Republic of South Africa        	27.7075	-25.8869	1555	CNES               
harv	Vandenberg AFB                               	USA                             	239.3179	34.4694	14.9941	JPL                
hers	Hailsham                                     	United Kingdom                  	0.3362	50.8673	76.5	NSGF               
hert	Hailsham                                     	United Kingdom                  	0.3344	50.8675	83.3	NSGF               
hflk	Innsbruck                                   	Austria                         	11.3861	47.3129	2383	  BEV                        
hilo	Hilo                                        	USA                             	204.9473	19.7192	29	  PGF                        
hlfx	HALIFAX                                      	CANADA                          	296.3887	44.6835	3.1	NRCan/GFZ          
hnlc	Honolulu                                     	USA                             	202.1355	21.3033	22	PGPSF              
hnpt	Cambridge                                    	USA                             	283.869	38.588	-27.4	NOAA-NGS           
hob2	Hobart                                       	Australia                       	147.4387	-42.8047	41.127	GA                 
hofn	Hoefn                                        	Iceland                         	344.8132	64.2673	82.5	BKG                
holb	Holberg                                      	Canada                          	231.865	50.6404	560	GSC                
holc	Pearblossom                                 	USA                             	242.15	34.46	1238.16	  USGS                       
holm	"Ulukhaktok, formerly Holman (Victoria Island)"	Canada                          	242.2391	70.7364	39.5	NRCan/GSD          
holp	Hollydale                                    	USA                             	241.8318	33.9245	-6.7077	USGS               
hrao	Krugersdorp                                  	South Africa                    	27.687	-25.8901	1414.3	HRAO               
hrm1	Hermitage                                    	United Kingdom                  	358.7161	51.4537	163.1	NGA                
hrm2	Hermitage                                    	United Kingdom                  	358.7161	51.4537	163.1	NGA                
hueg	Huegelheim                                   	Germany                         	7.5962	47.8339	278.4	BKG                
hyde	Hyderabad (located in central part of India) 	INDIA                           	78.5509	17.4173	441.68	"NGRI,HYDERABAD     "
ieng	Torino                                       	Italy                           	7.6394	45.0151	316.6	I.N.RI.M.          
iisc	Bangalore                                    	India                           	77.5704	13.0212	843.7145	JPL                
ineg	Aguascalientes                               	Mexico                          	257.7158	21.8562	1888.347	INEGI              
invk	Inuvik                                       	Canada                          	226.473	68.3062	46.36	NRCan/GSD          
iqal	Iqaluit                                      	CANADA                          	291.4895	63.756	91.7	NRCan              
iqqe	Iquique                                      	Chile                           	289.8683	-20.2735	38.9	G2                 
irkj	Irkutsk                                      	RUSSIA                          	104.3162	52.219	502.1	VNIIFTRI           
irkm	Irkutsk                                      	Russia                          	104.3162	52.219	502.317	RDAAC-IMVP-JPL-LDEO
irkt	Irkutsk                                      	Russia                          	104.3162	52.219	503.3816	DEOS-DUT           
isba	Palestine Street                             	Iraq                            	44.4384	33.3414	72.3	IRAGDS             
ispa	Easter Island                                	Chile                           	250.6556	-27.125	112.4948	JPL                
ista	Istanbul                                     	Turkey                          	29.0193	41.1044	147.2	BKG                
jab1	Jabiru                                       	Australia                       	132.8939	-12.6588	82.114	GA                 
joz2	Jozefoslaw                                   	Poland                          	21.0323	52.0978	152.5	WUT                
joze	Jozefoslaw                                   	Poland                          	21.0315	52.0973	141.4	WUT                
jplm	Pasadena                                     	USA                             	241.8268	34.2048	423.9843	JPL                
karr	Karratha                                     	Australia                       	117.0972	-20.9814	109.2468	GA                 
kely	Kangerlussuaq                                	Greenland                       	309.0552	66.9874	229.8	JPL                
kerg	Port aux Francais                            	Kerguelen Islands               	70.2555	-49.3515	74.0583	CNES               
kgni	KOGANEI                                      	JAPAN                           	139.4881	35.7103	123.5	RAAG-KSRC          
khaj	Khabarovsk                                   	RUSSIA                          	135.0462	48.5215	130.6	VNIIFTRI           
khar	Kharkiv                                      	Ukraine                         	36.239	50.0051	201	MAO                
kir0	Kiruna                                       	Sweden                          	21.0602	67.8776	497.9	LMV                
kiru	Kiruna                                       	Sweden                          	20.9684	67.8573	391.1	ESOC               
kit3	Kitab                                        	Uzbekistan                      	66.88	39.14	643	GFZ Potsdam        
kokb	"Kokee Park, Waimea,                          "	USA                             	200.3351	22.1263	1167.5216	JPL                
kokv	"Kokee Park, Waimea,                          "	USA                             	200.3351	22.1263	1167.5216	JPL                
kosg	Kootwijk                                     	Netherlands                     	5.8096	52.1784	97.9	DUT                
kouc	Koumac                                       	New Caledonia                   	164.2873	-20.5587	84	DITTT              
kour	Kourou                                       	French Guyana                   	307.194	5.2522	-25.57	ESOC               
ksmv	KASHIMA                                      	JAPAN                           	140.6577	35.9554	57.9	RAAG-KSRC          
kstu	Krasnoyarsk                                  	Russia                          	92.79	55.99	210	GFZ                
kunm	Kunming                                      	China                           	102.7972	25.0295	1986.2	JPL                
kuuj	KUUJJUARAPIK                                 	CANADA                          	282.2546	55.2784	-0.5	NRCan/GFZ          
kwj1	Kwajalein Atoll                              	Marshall Islands                	167.7302	8.7222	38	JPL                
lae1	Lae                                          	Papua New Guinea                	146.9932	-6.6737	140.35	DSLS               
lama	Olsztyn                                      	Poland                          	20.6699	53.8924	187	UWM_OLSZTYN        
lbch	Long Beach                                   	USA                             	241.8	33.79	-27.56	USGS               
leep	Hollywood                                    	USA                             	241.6782	34.1346	485.0517	USGS               
leij	Leipzig                                      	Germany                         	12.3741	51.354	178.4	BKG                
lhas	LHASA                                        	China                           	91.104	29.6573	3622	BKG                
lhaz	Lhasa                                        	China                           	91.104	29.6573	3622	BKG                
lmmf	LE LAMENTIN                                  	FRANCE                          	299.0038	14.5948	-26.969	IGN-SGN            
long	Irwindale                                    	USA                             	242	34.11	74.29	USGS               
lpal	Roque de los Muchachos                       	Spain                           	342.1061	28.7639	2207	IGN-E              
lpgs	La Plata                                     	Argentina                       	302.0677	-34.9067	29.9	GFZ                
lroc	La Rochelle                                  	France                          	358.7807	46.1589	57.9	CLDG               
mac1	"MacQuarie Island, Sub-Antarctic              "	Southern Ocean                  	158.9358	-54.4995	-6.69	GA                 
mad2	Robledo                                      	Spain                           	355.7503	40.4292	829.5	JPL                
madr	Robledo                                      	Spain                           	355.7503	40.4292	829.5	JPL                
mag0	Magadan                                      	Russian Federation              	150.77	59.5758	361.9266	RDAAC-IRIS         
mal2	Malindi                                      	Kenya                           	40.194	-2.996	-20.4	ESOC               
mald	Male Airport                                 	Republic of Maldives            	73.5263	4.1887	-92	PGPSF              
mali	Malindi                                     	Kenya                           	40.1944	-2.9959	22.72	  ESOC                       
mana	Managua                                      	Nicaragua                       	273.7513	12.1491	170	INETER             
mar6	Maartsbo                                     	Sweden                          	17.2585	60.5951	75.4	LMV                
mars	Marseille                                    	France                          	5.3538	43.2788	61.8	IGN                
mas1	Maspalomas                                   	Spain                           	344.3667	27.7637	197.3	ESOC               
mat1	MATERA                                       	ITALY                           	16.7045	40.6491	534.5	ASI                
mate	Matera                                       	Italy                           	16.7045	40.6491	535.6	ASI                
maui	"Haleakala, Maui                              "	USA                             	203.743	20.7067	3062	PGPSF              
maw1	Mawson                                       	Antarctica                      	62.8707	-67.6048	59.184	GA                 
mbar	Mbarara                                      	Uganda                          	30.7379	-0.6015	1337.6533	JPL                
mcil	Ogasawara                                    	Japan                           	153.9787	24.2901	35.66	GSI                
mcm4	Ross Island                                  	Antarctica                      	166.6693	-77.8383	98.0222	JPL                
mdo1	Fort Davis                                   	USA                             	255.985	30.6805	2004.4761	JPL                
mdvj	Mendeleevo                                   	Russian Federation              	37.2145	56.0215	257.4	IMVP               
mdvo	"Mendeleevo, Moscow Region                    "	Russia                          	37.2236	56.0275	254.8	DEOS-DUT           
medi	Medicina                                     	Italy                           	11.6468	44.5199	50	ASI                
mets	Kirkkonummi                                  	Finland                         	24.3953	60.2175	94.6	FGI                
metz	Kirkkonummi (40 km west from Helsinki)       	Finland                         	24.3953	60.2175	94.5	FGI                
mikl	Mykolaiv                                     	Ukraine                         	31.9728	46.9728	94.7	RIGC               
mizu	Mizusawa                                     	Japan                           	141.1328	39.1352	117	GFZ                
mkea	Mauna Kea                                    	USA                             	204.5437	19.8014	3755	JPL                
mobj	Obninsk                                      	Russian Federation              	36.5697	55.1149	182.6079	GS RAS             
mobk	Obninsk                                      	Russian Federation              	36.5697	55.1149	182.6079	JPL                
mobn	Obninsk                                      	Russian Federation              	36.5695	55.1149	182.634	RDAAC-JPL-IRIS     
mobs	Melbourne                                    	Australia                       	144.9753	-37.8294	40	GA                 
monp	Laguna Mountains                             	USA                             	243.58	32.89	1842.52	SIO                
