;epoch_h;svs;Ispb;Vtec;Vtec2;Vtec3
9389;8.0;G04;263636.60989880183;276993.37411455566;93202.45436333098;262209.9109723482
9400;8.008333333333333;G04;296377.04092890746;311392.5513171262;104777.05521292669;294773.1635073267
9411;8.016666666666667;G04;295139.7571744128;310092.5823863083;104339.64296313692;293542.57545190403
9422;8.025;G04;267158.10978816706;280693.2856582283;94447.39691078303;265712.35387219436
9433;8.033333333333333;G04;269156.7990391376;282793.23558417126;95153.98596824196;267700.2269933043
9443;8.041666666666666;G04;267348.460807729;280893.28053448943;94514.6909873551;265901.6747859779
9454;8.05;G04;252881.75885658723;265693.6442347564;89400.33251905754;251513.26100638765
9464;8.058333333333334;G04;277722.60910170566;291793.01991672616;98182.22442779396;276219.6822190947
9474;8.066666666666666;G04;278864.7173464194;292992.9914094136;98585.9896392977;277355.60981762566
9483;8.075;G04;282195.8658616657;296492.9077043051;99763.63798483247;280668.7314510501
9493;8.083333333333334;G04;249360.25932177904;261993.73306360387;88155.3900969507;248010.81845917975
9503;8.091666666666667;G04;251834.8268307685;264593.6709252398;89030.21459653025;250471.9945700251
9512;8.1;G04;290761.67627879075;305492.6924093801;102791.87656972968;289188.1870294788
9521;8.108333333333333;G04;283242.79824204143;297592.88138634176;100133.75603270494;281709.9982400509
9530;8.116666666666667;G04;252405.88095312536;265193.65667158354;89232.09720228212;251039.95836929057
9539;8.125;G04;230801.0033589152;242494.19947385447;81594.2064754492;229551.9979804778
9548;8.133333333333333;G04;302182.75695314317;317492.4054736536;106829.528058041;300547.46125159645
9557;8.141666666666667;G04;252310.70508878736;265093.6588609328;89198.45003865087;250945.29755976048
9566;8.15;G04;257640.54285500417;270693.5250817672;91082.68744164456;256246.29231429484
9575;8.158333333333333;G04;266491.8798014722;279993.3021012339;94211.86714139991;265049.72926339885
9584;8.166666666666666;G04;318648.1481552555;334791.9916993295;112650.47558379751;316923.74815229664
9593;8.175;G04;254404.5698495389;267293.6062250063;89938.68613439586;253027.83113776223
9602;8.183333333333334;G04;295805.9868065506;310792.5655707825;104575.17260717483;294205.19970806123
9611;8.191666666666666;G04;283433.1496161604;297792.876635123;100201.05023462223;281899.31950647273
9620;8.2;G04;252215.5292244494;264993.6610502822;89164.80287501962;250850.63675023045
9629;8.208333333333334;G04;288191.9329054633;302792.7567370935;101883.40490651887;286632.35010910337
9638;8.216666666666667;G04;283052.4468679225;297392.88613756053;100066.46183078767;281520.6769736291
9647;8.225;G04;236892.24626705082;248894.04631729366;83747.62056076685;235610.27744806118
9656;8.233333333333333;G04;263636.60989880183;276993.37411455566;93202.45436333098;262209.9109723482
9665;8.241666666666667;G04;270489.2583034133;284193.2019531197;95625.04525631778;269025.4755056188
9674;8.25;G04;253928.691236963;266793.61791679316;89770.45056693003;252554.52779538854
9683;8.258333333333333;G04;287716.0546474444;302292.76880140044;101715.16946439823;286159.0471193679
9692;8.266666666666667;G04;266587.0556658102;280093.29991188465;94245.51430503116;265144.3900729289
9701;8.275;G04;264207.6640211587;277593.35986089933;93404.33696908284;262777.8747716136
9712;8.283333333333333;G04;254214.21847541994;267093.61097622506;89871.39193247857;252838.5098713404
9722;8.291666666666666;G04;294188.000658375;309092.6065149222;104003.17207889567;292595.9694724332
9732;8.3;G04;264112.4881568207;277493.36205024866;93370.68980545159;262683.21396208357
9741;8.308333333333334;G04;257355.01561654723;270393.5320223353;90981.74607609602;255962.31023834297
9750;8.316666666666666;G04;249360.25896722203;261993.73269108377;88155.3899716055;248010.81810654147
9759;8.325;G04;268585.7445622237;282193.2494653074;94952.1032371449;267132.2628414006
9768;8.333333333333334;G04;259163.35349339884;272293.4866994969;91621.04093163768;257760.86209303112
9778;8.341666666666667;G04;287620.87913766346;302192.77136326995;101681.5224261122;286064.3866624762
9787;8.35;G04;245458.0566841759;257893.83102236874;86775.85914566407;244129.73302648988
9796;8.358333333333333;G04;281244.1089910709;295492.9314603989;99427.16697524601;279722.12511894095
9805;8.366666666666667;G04;249074.7320833221;261693.74000417197;88054.44873140217;247726.83638322787
9814;8.375;G04;258687.47523537994;271793.4987638039;91452.80548951705;257287.5591032957
9825;8.383333333333333;G04;265730.4746595534;279193.32147862914;93942.69045907597;264292.4445503499
9836;8.391666666666667;G04;268680.9204265617;282293.24727595807;94985.75040077613;267226.92365093064
