id;epoch;svs;Ispb;Vtec;Vtec2;Vtec3
106;330;G27;693925.8207151402;729082.5600392931;669392.6798389561;297373.88411973516
116;360;G27;310272.68911224935;325992.20224303566;299303.2693777616;132963.77212552333
126;390;G27;350151.2950763094;367891.19959856203;337772.00208324497;150053.28745238
136;420;G27;360430.2678605051;378690.9415426682;347687.5707688336;154458.22234649758
146;450;G27;294949.4058002938;309892.587137527;284521.7273542199;126397.15630014981
156;480;G27;290666.50041445275;305392.69459872943;280390.2403448876;124561.7667356106
166;510;G27;251930.00234054946;264693.66836337035;243023.23730334634;107961.68853479961
176;540;G27;373183.80779913324;392090.62097589026;359990.22044996714;159923.60437237108
186;570;G27;383177.253344872;402590.36986056453;369630.3564630538;164206.17987102128
196;600;G27;396501.847405857;416590.03504013026;382483.8711471694;169916.28053588822
205;630;G27;429051.9270618437;450789.21699391963;413883.17118681554;183865.24067939763
214;660;G27;389649.19900124555;409390.2072015662;375873.49213745096;166979.65732379025
223;690;G27;410873.37349266076;431689.6735292126;396347.3044903857;176075.03181099796
232;720;G27;438379.1429754446;460588.9826941197;422880.63153410086;187862.31117519276
241;750;G27;294854.22993595584;309792.5893268764;284429.9163493786;126356.36978434693
251;780;G27;340253.0253949086;357491.4485245384;328223.6770749996;145811.49846953267
260;810;G27;262113.79926040716;275393.41249682585;252846.99498409365;112325.83691311433
268;840;G27;297043.2705610453;312092.5345016005;286541.56535646535;127294.45782451797
276;870;G27;290285.7980207718;304992.70447368704;280022.9973515882;124398.62112822289
284;900;G27;401736.5089531788;422089.9030777938;387533.46581076115;172159.53419486733
292;930;G27;396025.9691478381;416090.04710443725;382024.8171490287;169712.34841269764
300;960;G27;339586.7957627708;356791.4653400642;327581.0014091983;145525.9934666776
308;990;G27;432478.2510868709;454389.13072694157;417188.3605206638;185333.55220947595
316;1020;G27;367568.44314901653;386190.76206814416;354573.3821090321;157517.20480212168
324;1050;G27;304657.32410757564;320092.34296276944;293886.4306948046;130557.37240333264
332;1080;G27;381654.44270647736;400990.4082428348;368161.3834637904;163553.5969856466
340;1110;G27;381559.26684213936;400890.4104321841;368069.57245894906;163512.8104698437
350;1140;G27;316839.81027840386;332892.0370221678;305638.215714978;135778.0359421539
361;1170;G27;318552.9722909175;334691.99388867884;307290.81038190215;136512.19170719307
371;1200;G27;423055.85966348904;444489.367588611;408099.08951055916;181295.69534981923
381;1230;G27;396501.847405857;416590.03504013026;382483.8711471694;169916.28053588822
391;1260;G27;329117.47195901314;345791.72851969686;317481.8113979709;141039.4858448368
401;1290;G27;286098.0684992688;300592.80974554014;275983.3213470973;122604.01807948659
410;1320;G27;350436.82231476635;368191.19265799393;338047.434755747;150175.64684784738
419;1350;G27;275628.7443409541;289593.0725526527;265884.1309938479;118117.51030570448
429;1380;G27;388792.61799498874;408490.2287683107;375047.19480398885;166612.57944127067
438;1410;G27;360620.6192346241;378890.9367914495;347871.19243649434;154539.79522616212
447;1440;G27;348438.1330637958;366091.24273205106;336119.4074163209;149319.13168734082
456;1470;G27;314841.1213819903;330792.08746874507;303710.1887175738;134921.52093358865
465;1500;G27;403735.1985587064;424189.8533762568;389461.4934922092;173016.0495073152
474;1530;G27;384033.8343511288;403490.34829382;370456.6537965159;164573.25775354085
483;1560;G27;419629.5352839048;440889.4534830689;404793.899834689;179827.38366779962
492;1590;G27;315507.3510141282;331492.07065321936;304352.8643833753;135207.02593644374
501;1620;G27;329974.05296526995;346691.7069529524;318308.10873143293;141406.56372735638
510;1650;G27;422294.45416701323;443689.3865934861;407364.6028399165;180969.40383116127
519;1680;G27;338920.56613063294;356091.4821555899;326938.3257433968;145240.48846382252
528;1710;G27;390600.95587184036;410390.1834454724;376791.60047575436;167387.52172211275
537;1740;G27;399166.7662889654;419389.9681505474;385054.5741523969;171058.3006992499
545;1770;G27;355385.95733274525;373391.06838126585;342821.59743088065;152296.5414152417
553;1800;G27;321979.29631594475;338291.90762170084;310595.99971575045;137980.50323727142
561;1830;G27;374611.4425731899;393590.5847829693;361367.3824443893;160535.40074194284
569;1860;G27;350912.70092734223;368691.18096620706;338506.48909590964;150379.57912297928
577;1890;G27;378228.11832689313;397390.4941372927;364856.1937879202;162085.285303627
585;1920;G27;344155.2280325118;361591.35056577355;331987.9207490106;147483.74227474292
594;1950;G27;392789.99614237284;412690.12824767636;378903.2491408191;168325.6096103425
603;1980;G27;297233.6222897213;312292.53012290184;286725.187366148;127376.03085612378
611;2010;G27;287430.52776354447;301992.77611448866;277268.6726787;123175.02808519675
619;2040;G27;299898.5408182727;315092.4628607989;289295.89002935356;128518.05086754412
627;2070;G27;323216.58007043944;339591.8765525188;311789.5403845338;138510.72687912
635;2100;G27;385461.46947974246;404990.31247341924;371833.81613295997;165185.05427505393
643;2130;G27;392885.17165215383;412790.12568580697;378995.05980363855;168366.39597420412
651;2160;G27;345011.8090387686;362491.32899902907;332814.2180824726;147850.8201572625
659;2190;G27;396406.67189607606;416490.03760199976;382392.0604843501;169875.49417202664
667;2220;G27;294663.87891639385;309592.59445061523;284246.29502373986;126274.79705662372
675;2250;G27;410302.3197248609;431089.688155389;395796.43982942565;175830.31332394577
683;2280;G27;310748.5673702683;326492.1901787287;299762.3233759023;133167.70424871394
691;2310;G27;351483.7546951421;369291.1663400307;339057.3537568697;150624.29761003147
699;2340;G27;308559.52709973574;324192.2453765247;297650.6747108374;132229.61636048416
707;2370;G27;378228.11832689313;397390.4941372927;364856.1937879202;162085.285303627
715;2400;G27;368139.4972713734;386790.74781448784;355124.24711201416;157761.92344111518
723;2430;G27;313508.66176315764;329392.12072727643;302424.83704394917;134350.51077593717
731;2460;G27;334542.4852350109;351491.5921786617;322715.02807124524;143364.3125354217
739;2490;G27;344155.2280325118;361591.35056577355;331987.9207490106;147483.74227474292
747;2520;G27;274010.7581927785;287893.1134967924;264323.34733176517;117424.14105646822
755;2550;G27;301992.4052244672;317292.4098523523;291315.7276895771;129415.35223997099
763;2580;G27;411444.42761501763;432289.6592755563;396898.1694933677;176319.75044999144
771;2610;G27;358907.4572221105;377090.9799249385;346218.5977695702;153805.63946112295
779;2640;G27;294188.000303818;309092.6061424021;283787.2406835772;126070.86478149184
787;2670;G27;362238.6057373567;380590.8962198299;349431.9764405991;155233.16462733966
795;2700;G27;367568.44350357354;386190.7624406643;354573.3824510541;157517.204954063
803;2730;G27;306751.18922288413;322292.290699363;295906.269039072;131454.67407964208
811;2760;G27;384224.1857252478;403690.3435426013;370640.2754641766;164654.83063320536
819;2790;G27;383272.428854653;402690.3672986951;369722.1671258732;164246.9662348829
827;2820;G27;393646.57714862964;413590.1066809319;379729.54647428123;168692.68749286208
835;2850;G27;315983.22927214706;331992.05858891236;304811.91838151595;135410.95805963431
844;2880;G27;366997.38938121666;385590.77669432055;354022.5174480721;157272.4863150695
853;2910;G27;312461.7293827819;328292.1470452397;301414.9180428264;133901.86001375312
862;2940;G27;375943.90219202265;394990.551524438;362652.73411801405;161106.41089959434
871;2970;G27;280577.87971349;294792.9486484447;270658.29401100357;120238.40502504009
880;3000;G27;291618.25728504756;306392.6708426356;281308.348683191;124969.63113393309
889;3030;G27;355290.78146840725;373291.0705706151;342729.7864260393;152255.7548994388
897;3060;G27;330640.2825974078;347391.6901374266;318950.7843972343;141692.06873021147
906;3090;G27;329117.47195901314;345791.72851969686;317481.8113979709;141039.4858448368
914;3120;G27;312461.7293827819;328292.1470452397;301414.9180428264;133901.86001375312
922;3150;G27;330069.22847505094;346791.7043910829;318399.9193942523;141447.350091218
930;3180;G27;337397.75513768126;354491.52016534;325469.35240211146;144587.90542650654
938;3210;G27;274486.6364507974;288393.10143248545;264782.40132990584;117628.0731796588
946;3240;G27;306560.8378487652;322092.29545058176;295722.6473714113;131373.1011999776
954;3270;G27;325310.445185748;341791.8242891124;313809.37872880127;139408.02855542945
962;3300;G27;347962.2551603339;365591.2551688781;335660.35376020207;149115.19971609153
972;3330;G27;369757.483774106;388490.70724286826;356685.0311161189;158455.29284229272
981;3360;G27;318838.49917481747;334991.9865755907;307566.2427123822;136634.5509507192
990;3390;G27;327785.0126947374;344391.7621507483;316196.46006636805;140468.4758391266
999;3420;G27;385842.1722279804;405390.3029709817;372201.05946828134;165348.20003438293
1008;3450;G27;393932.1040325296;413890.09936784365;380004.97880476125;168815.04673638818
1017;3480;G27;355100.4300942883;373091.0753218339;342546.16475837864;152174.1820197743
1024;3510;G27;346915.32242540113;364491.28111432126;334650.4344170574;148666.54880196616
1033;3540;G27;334447.3093706729;351391.59436801105;322623.2170664039;143323.5260196188
1040;3570;G27;292855.5410395423;307692.6397734536;282501.8893519744;125499.85477578167
1048;3600;G27;289619.568034077;304292.72091669275;279380.3213437649;124113.11597342652
1055;3630;G27;288572.6360082582;303192.7476071761;278370.40268466406;123664.46536318373
1063;3660;G27;335303.8903769297;352291.5728012665;323449.51439986593;143690.60390213836
1070;3690;G27;302468.2838370431;317792.3981605654;291774.7820297397;129619.28451510287
1077;3720;G27;331972.7422162405;348791.65687889524;320236.13607085904;142263.07888786294
1084;3750;G27;301992.4055790242;317292.4102248724;291315.728031599;129415.3523919123
1091;3780;G27;307512.59471936;323092.27169448795;296640.7557097147;131780.9655983001
1098;3810;G27;349675.41681829054;367391.211662869;337312.9480851043;149849.35532918942
1105;3840;G27;335684.59312516765;352691.563298829;323816.7577351873;143853.74966146736
1113;3870;G27;316268.756510604;332292.05164834426;305087.35105401796;135533.31745510173
1121;3900;G27;344535.93078074965;361991.341063336;332355.1640843319;147646.8880340719
1129;3930;G27;335684.59347972466;352691.56367134914;323816.7580772093;143853.74981340868
1132;3960;G32;345297.3359226685;362791.32168594084;333089.65041295264;147973.1794007886
1138;3960;G27;342156.5387815412;359491.4006398307;330059.8934095844;146627.22711423636
1141;3990;G32;363951.7673953133;382390.85271382076;351084.57076550124;155967.32024043755
1147;3990;G27;292284.4869171854;307092.6540271099;281951.0243489924;125255.13613678818
1155;4020;G27;317601.21577487973;333692.0180172928;306372.70238562074;136104.3274608119
1156;4020;G32;203675.9369789263;213994.88117903005;196475.15224685907;87282.96695852902
1164;4050;G27;343393.8225360359;360791.3695706486;331253.43407836783;147157.4507560849
1165;4050;G32;206340.85550747768;216794.81391692706;199045.8549100646;88424.98696994936
1173;4080;G27;309606.45912555454;325292.2186860413;298660.59336993826;132678.26697072695
1174;4080;G32;374230.740179509;393190.59465792694;361000.1394510899;160372.25513455513
1182;4110;G27;311700.323886306;327492.1660501147;300680.43137218367;133575.5684950951
1183;4110;G32;318267.44540701754;334392.001201767;307015.37805142207;136389.83246366697
1190;4140;G27;317030.16165252286;333092.0322709491;305821.8373826387;135859.60882181843
1191;4140;G32;345487.68729678745;362991.31693472207;333273.2720806133;148054.75228045307
1198;4170;G27;348914.0113218147;366591.23066774406;336578.46141446155;149523.0638105314
1199;4170;G32;227279.50346955;238794.28793018183;219244.23527454134;97398.00236557228
1206;4200;G27;337873.6333957002;354991.5081010331;325928.4064002522;144791.83754969714
1207;4200;G32;259924.75898987468;273093.4676946219;250735.34631902885;111387.74902488459
1214;4230;G27;306465.6619844272;321992.2976399311;295630.83636657;131332.3146841747
1215;4230;G32;435809.3996021172;457889.0470218331;420401.73919169273;186761.0773756927
1222;4260;G27;381844.7940805963;401190.403491616;368345.00513145106;163635.1698653111
1223;4260;G32;325215.26932141;341691.8264784617;313717.5677239599;139367.24203962655
1231;4290;G27;340728.90400748455;357991.4368327516;328682.7314151623;146015.43074466457
1232;4290;G32;410873.37384721776;431689.6739017327;396347.3048324077;176075.03196293925
1240;4320;G27;348914.0113218147;366591.23066774406;336578.46141446155;149523.0638105314
1241;4320;G32;356147.36247466406;374191.04900387063;343556.08375950134;152622.83278195836
1249;4350;G27;362524.13262125663;380890.8889067417;349707.4087710791;155355.52387086576
1250;4350;G32;336255.6472475245;353291.54904517275;324367.62273816933;144098.46830046084
1258;4380;G27;355481.1328425262;373491.06581939635;342913.40809369995;152337.32777910327
1259;4380;G32;319790.2560454122;335991.9628194968;308484.35105068557;137042.41534904166
1267;4410;G27;299422.6625602538;314592.4749251059;288836.8360312128;128314.11874435355
1268;4410;G32;341680.6605235223;358991.4127041376;329600.8394114437;146423.29499104575
1276;4440;G27;355861.8355907641;373891.05631695886;343280.6514290213;152500.4735384323
