;epoch;svs;Ispb;Vtec;Vtec2;Vtec3
182;600;G27;457604.6282158893;480788.49909582315;441426.41654760955;196101.17050189388
192;630;G27;395645.2660450432;415690.0562343546;381657.57347168535;169549.20250142735
202;660;G27;271536.1906837891;285293.1756351565;261936.26599419833;116363.69377277106
212;690;G27;324834.5669277291;341291.8363534194;313350.32473066053;139204.09643223888
222;720;G27;301992.4055790242;317292.4102248724;291315.728031599;129415.3523919123
232;750;G27;256593.61047462843;269593.55139973044;247521.96764799996;109960.22385866784
242;780;G27;242602.78642694856;254893.90266317036;234025.77695606105;103964.61803900449
252;810;G27;324644.2155536101;341091.8411046381;313166.7030629998;139122.52355257436
262;840;G27;356147.36247466406;374191.04900387063;343556.08375950134;152622.83278195836
272;870;G27;488060.8431111245;512787.7336855391;470805.8785850103;209152.82912103515
282;900;G27;448372.58852118335;471088.7315787939;432520.7675471875;192144.88667384296
291;930;G27;437141.85886639287;459289.01339078153;421687.09052329545;187332.08738140287
301;960;G27;420010.23838669976;441289.44435315154;405161.1435120323;179990.5295790699
311;990;G27;388697.44213065074;408390.23095766;374955.38379914756;166571.79292546777
321;1020;G27;291427.9062654856;306192.6759663745;281124.7273575523;124888.05840620991
329;1050;G27;230134.77337222034;241794.21591686012;221998.55960540753;98621.59525665712
339;1080;G27;310748.5673702683;326492.1901787287;299762.3233759023;133167.70424871394
348;1110;G27;351103.0523014612;368891.17621498834;338690.11076357035;150461.1520026438
357;1140;G27;233656.27361614257;245494.12783305292;225395.5602861191;100130.69345447967
367;1170;G27;441710.29149069084;464088.89898901107;426094.01020512974;189289.83634140948
375;1200;G27;368996.0782776302;387690.72624774335;355950.54444547626;158129.00132363476
384;1230;G27;344155.2280325118;361591.35056577355;331987.9207490106;147483.74227474292
392;1260;G27;486823.55935662973;511487.7647547211;469612.3379162268;208622.60547918655
401;1290;G27;349960.9440567475;367691.2047223009;337588.3807576063;149971.7147246568
410;1320;G27;452560.31768812943;475488.6259344208;436560.4432096565;193939.489570638
418;1350;G27;411920.30587303656;432789.64721124934;397357.22349150846;176523.68257318204
427;1380;G27;370709.2402901438;389490.6831142543;357603.13911240036;158863.15708867394
436;1410;G27;401926.86068185477;422289.8986990951;387717.08782044373;172241.10722647313
444;1440;G27;306560.8374942082;322092.29507806164;295722.6470293894;131373.1010480363
453;1470;G27;393836.9281681916;413790.101557193;379913.1677999199;168774.26022058527
463;1500;G27;386413.22599578026;405990.2883448053;372751.9241292414;165592.91852143512
473;1530;G27;378228.11832689313;397390.4941372927;364856.1937879202;162085.285303627
483;1560;G27;342156.5387815412;359491.4006398307;330059.8934095844;146627.22711423636
493;1590;G27;357289.4707193778;375391.02049655805;344657.8137654654;153112.27005994535
503;1620;G27;389839.5503753645;409590.20245034737;376057.1138051116;167061.23020345476
513;1650;G27;373850.0374312711;392790.60416036454;360632.8961157686;160209.10937522617
522;1680;G27;382986.90197075304;402390.3746117833;369446.73479539313;164124.6069913568
531;1710;G27;387174.6314922561;406790.26933993027;373486.4107998841;165919.2100400931
541;1740;G27;365950.45664628386;384490.8026397637;353012.59810492734;156823.8354009441
550;1770;G27;398024.6580442517;418189.99665786006;383952.8441464328;170568.8634212629
559;1800;G27;378037.76695277414;397190.49888851144;364672.5721202595;162003.71242396248
568;1830;G27;342061.36327176023;359391.4032017001;329968.08274676505;146586.44075037475
577;1860;G27;340728.90365292755;357991.4364602315;328682.73107314034;146015.43059272328
586;1890;G27;310938.9183898302;326692.1850549898;299945.944701541;133249.27697643713
595;1920;G27;344821.4576646496;362291.3337502478;332630.5964148119;147769.24727759798
604;1950;G27;370804.41615448176;389590.680924905;357694.95011724165;158903.9436044768
614;1980;G27;413347.94100165024;434289.6113908485;398734.3858279526;177135.47909469513
623;2010;G27;328546.41783665627;345191.7427733531;316930.94639498886;140794.7672058433
632;2040;G27;360715.79509896203;378990.9346021001;347963.00344133563;154580.581741965
640;2070;G27;398405.3604379326;418589.9867829024;384320.08713973226;170732.00902865062
648;2100;G27;383462.7802287719;402890.3625474763;369905.78879353387;164328.53911454737
656;2130;G27;380512.3344617636;399790.4367501474;367059.65345782635;163064.15970765965
664;2160;G27;406971.17120961467;427589.7718604976;392583.06115839677;174402.78815772905
673;2190;G27;400404.04968890315;420689.9367088453;386248.11447915836;171588.52418915718
682;2220;G27;443613.80452276644;466088.8507317832;427930.2261976926;190105.56483417185
691;2250;G27;367092.5648909976;385690.7741324511;354114.3281108914;157313.27267893107
699;2280;G27;398595.71216660854;418789.98240420374;384503.70914941485;170813.5820602564
707;2310;G27;458080.5068284652;481288.48740403634;441885.4708877722;196305.1027770258
715;2340;G27;358621.93033821054;376790.9872380267;345943.16543909017;153683.28021759685
723;2370;G27;372898.2805606763;391790.62791645835;359714.7877774652;159801.24497690366
731;2400;G27;392980.3475164918;412890.1234964576;379086.8708084798;168407.182490007
739;2430;G27;362333.7812471377;380690.89365796046;349523.78710341844;155273.95099120127
747;2460;G27;410397.4952346419;431189.6855935196;395888.250492245;175871.09968780738
756;2490;G27;330164.4039848319;346891.7018292134;318491.7300570716;141488.13645507957
764;2520;G27;382320.6723386152;401690.391427309;368804.05912959174;163839.1019885017
772;2550;G27;376229.4290759226;395290.5442113498;362928.16644849407;161228.77014312043
781;2580;G27;380036.4562037447;399290.4488144543;366600.5994596856;162860.22758446904
790;2610;G27;354434.20046215045;372391.09213735966;341903.48909257725;151888.67701691922
798;2640;G27;344631.10629053065;362091.33850146655;332446.97474715125;147687.6743979335
806;2670;G27;352816.21431397484;370691.13308149937;340342.70543049445;151195.30776768294
814;2700;G27;328831.9447205562;345491.73546026496;317206.3787254689;140917.1264493694
822;2730;G27;333495.55285463517;350391.61849662504;321705.1090701225;142915.6617732376
830;2760;G27;354339.02459781244;372291.09432670893;341811.6780877359;151847.89050111632
838;2790;G27;380702.68583588256;399990.4319989286;367243.275125487;163145.73258732414
846;2820;G27;333210.02561617823;350091.62543719314;321429.6763976205;142793.30237777022
854;2850;G27;328260.89095275634;344891.75008644135;316655.5140645088;140672.4079623172
862;2880;G27;374992.14567598485;393990.57565305196;361734.62612173264;160698.54665321315
870;2910;G27;346915.32242540113;364491.28111432126;334650.4344170574;148666.54880196616
878;2940;G27;394217.6312709865;414190.09242727555;380280.4114772632;168937.40613185556
886;2970;G27;383748.30746722885;403190.3556069082;370181.2214660358;164450.89851001475
894;3000;G27;374421.091553628;393390.5899067082;361183.7611187506;160453.82801421965
902;3030;G27;449514.6964113401;472288.7026989612;433622.4972111296;192634.32379988863
909;3060;G27;383557.9557385529;402990.35998560686;369997.59945635323;164369.32547840898
916;3090;G27;406875.99534527666;427489.7740498469;392491.2501535554;174362.00164192612
924;3120;G27;350246.4709406474;367991.19740921276;337863.8130880863;150094.0739681829
933;3150;G27;362048.25436323776;380390.9009710487;349248.3547729384;155151.59174767518
942;3180;G27;384890.4153573856;404390.3267270755;371282.95112997794;164940.33563606045
951;3210;G27;324263.51245081524;340691.85023455555;312799.4593856566;138959.37764130408
960;3240;G27;365284.227014146;383790.8194552894;352369.92243912595;156538.330398089
969;3270;G27;367568.44314901653;386190.76206814416;354573.3821090321;157517.20480212168
978;3300;G27;430765.0890743573;452589.1738604306;415535.7658537397;184599.39644443677
986;3330;G27;335113.5393573678;352091.57792500546;323265.89307422726;143609.03117441517
995;3360;G27;372803.1050508953;391690.63047832774;359622.97711464576;159760.45861304205
1003;3390;G27;364142.11912398925;382590.8483351221;351268.1927751838;156048.89327204332
1011;3420;G27;366235.9835301838;384790.79532667546;353288.03043540736;156946.19464447018
1019;3450;G27;367378.09177489753;385990.7668193629;354389.7604413714;157435.63192245716
1027;3480;G27;367949.1458972544;386590.75256570656;354940.62544435344;157680.35056145067
1035;3510;G27;362714.48364081857;381090.8837830028;349891.0300967178;155437.09659858895
1043;3540;G27;325500.7965598669;341991.8195378936;313993.0003964619;139489.60143509394
1052;3570;G27;348818.83581203374;366491.2332296135;336486.65075164224;149482.27744666982
1061;3600;G27;369947.83479366795;388690.70211912936;356868.6524417576;158536.8655700159
1070;3630;G27;406685.64432571473;427289.7791735858;392307.62882791675;174280.42891420296
1079;3660;G27;392028.59100045403;411890.1476250716;378168.76281219843;167999.31824362584
1088;3690;G27;381368.9154680204;400690.4151834029;367885.9507912884;163431.23759017923
1097;3720;G27;388031.21285306994;407690.2481457059;374312.70847536816;166286.288074554
1106;3750;G27;355195.60595862626;373191.07313248457;342637.97576321993;152214.96853557718
1114;3780;G27;328165.71508841834;344791.75227579067;316563.7030596675;140631.6214465143
1121;3810;G27;340633.72814314655;357891.4390221009;328590.920410321;145974.64422886167
1129;3840;G27;343774.52528427384;361191.3600682111;331620.6774136892;147320.59651541393
1136;3870;G27;377561.88869475527;396690.51095281844;364213.5181221188;161799.78030077188
1144;3900;G27;373945.21329560905;392890.60197101516;360724.7071206098;160249.89589102904
1152;3930;G27;348438.1330637958;366091.24273205106;336119.4074163209;149319.13168734082
1159;3960;G27;366426.33525885973;384990.7909479768;353471.65244509;157027.76767607598
1166;3990;G27;314460.41863375244;330392.0969711826;303342.9453822525;134758.37517425968
1173;4020;G27;361382.0247310999;379690.9177865744;348605.679107137;154866.0867448201
1180;4050;G27;404782.1309390821;425289.8270582935;390471.4124933319;173464.70026949927
1187;4080;G27;390220.2531236024;409990.1929479099;376424.357140433;167224.37596278376
1195;4110;G27;382511.02335817716;401890.3863035702;368987.6804552305;163920.6747162249
1203;4140;G27;332543.79598404036;349391.64225271886;320787.0007318191;142507.79737491513
1211;4170;G27;355005.2545845073;372991.07788370334;342454.3540955593;152133.3956559127
1220;4200;G27;383748.30746722885;403190.3556069082;370181.2214660358;164450.89851001475
1221;4200;G32;479875.7354422373;504187.93947802647;462910.14824368904;205645.195903227
1229;4230;G27;347200.84930930106;364791.2738012331;334925.86674753745;148788.90804549225
1237;4260;G27;313889.3645113956;329792.11122483894;302792.08037927054;134513.65653526617
1245;4290;G27;305323.55409427045;320792.3265197638;294529.1067026279;130842.87755812902
1253;4320;G27;360715.794744405;378990.93422958;347963.00309931365;154580.58159002368
1260;4320;G32;370614.0647803628;389390.6856761238;357511.328449581;158822.37072481232
1262;4350;G27;382701.3750868531;402090.38192487153;369171.3024649131;164002.2477478307
1269;4350;G32;351103.0523014612;368891.17621498834;338690.11076357035;150461.1520026438
1271;4380;G27;344631.10629053065;362091.33850146655;332446.97474715125;147687.6743979335
1277;4380;G32;346058.7414191443;363591.3026810658;333824.1370835953;148299.47091944655
1279;4410;G27;371565.8212964006;390390.66154750984;358429.4364458624;159230.2349711935
1286;4410;G32;289905.09527253394;304592.71397612465;279655.7540162669;124235.47536889392
1288;4440;G27;346915.32242540113;364491.28111432126;334650.4344170574;148666.54880196616
1294;4440;G32;274010.7581927785;287893.1134967924;264323.34733176517;117424.14105646822
1296;4470;G27;317125.3371623038;333192.0297090796;305913.648045458;135900.39518567998
1303;4470;G32;373374.1591732522;392290.6162246715;360173.8421176278;160005.17725203556
1305;4500;G27;360525.4433702861;378790.9389807988;347779.381431653;154499.0087103592
1311;4500;G32;435904.5754664552;457989.04483248375;420493.5501965341;186801.86389149562
1313;4530;G27;358050.87586129666;376191.0011191629;345392.3000940862;153438.56142666205
1320;4530;G32;350627.1736888853;368391.18790677516;338231.05642340763;150257.21972751187
1322;4560;G27;355766.6600809831;373791.05887882825;343188.84076620196;152459.6871745707
1329;4560;G32;346820.14691562013;364391.2836761907;334558.623754238;148625.76243810455
1331;4590;G27;382796.5505966341;402190.3793630021;369263.1131277325;164043.0341116923
1338;4590;G32;489869.180987976;514687.68836270075;472550.2842567757;209927.7714018772
1340;4620;G27;342251.71464587917;359591.3984504813;330151.7044144257;146668.01363003923
1348;4650;G27;365569.7538980459;384090.8121422012;352645.35476960597;156660.68964161508
1357;4680;G27;374896.96981164685;393890.5778424012;361642.8151168913;160657.76013741022
1364;4680;G32;329022.29609467514;345691.7307090462;317390.00039312954;140998.69932903387
1366;4710;G27;346249.09279326326;363791.297929847;334007.758751256;148381.04379911107
1373;4710;G32;370709.2402901438;389490.6831142543;357603.13911240036;158863.15708867394
1375;4740;G27;345868.3900450254;363391.3074322846;333640.5154159347;148217.89803978207
1382;4740;G32;207673.3151263104;218194.78065839573;200331.20658368935;88995.99712760084
1384;4770;G27;374421.091553628;393390.5899067082;361183.7611187506;160453.82801421965
1391;4770;G32;422199.27865723224;443589.3891553555;407272.7921770971;180928.61746729966
1393;4800;G27;346344.26865760126;363891.2957404977;334099.56975609733;148421.83031491397
1400;4800;G32;397834.30667013273;417990.00140907883;383769.22247877216;170487.29054159843
1402;4830;G27;364332.47049810825;382790.8435839034;351451.81444284454;156130.46615170783
1409;4830;G32;393932.1040325296;413890.09936784365;380004.97880476125;168815.04673638818
1411;4860;G27;318648.1481552555;334791.9916993295;307382.62138674344;136552.97822299597
1418;4860;G32;346153.9172834823;363691.3004917165;333915.9480884367;148340.25743524948
1420;4890;G27;360335.09199616715;378590.9437320176;347595.75976399233;154417.4358306947
1427;4890;G32;377086.0100821794;396190.5226446053;363754.4637819562;161595.84802564
1429;4920;G27;345106.9849031065;362591.3268096797;332906.0290873139;147891.60667306537
1435;4920;G32;365093.87564002705;383590.8242065082;352186.3007714653;156456.7575184245
1437;4950;G27;348438.1330637958;366091.24273205106;336119.4074163209;149319.13168734082
1443;4950;G32;468169.12788398494;491888.23372684116;451617.41756367823;200628.46463953762
1445;4980;G27;363095.1863890565;381490.8742805653;350258.2734320392;155600.24235791794
1451;4980;G32;455891.46620337566;478988.5422293122;439773.8218806854;195367.01473685473
1453;5010;G27;389268.4962530076;408990.2167040037;375506.2488021296;166816.51156446125
1460;5010;G32;509570.5448409966;535387.1930726174;491555.12361044704;218370.56300371024
1462;5040;G27;365664.9297623839;384190.8099528519;352737.1657744473;156701.47615741802
1468;5040;G32;335779.76898950565;352791.5611094797;323908.56874002866;143894.53617727026
1470;5070;G27;352625.86293985584;370491.1378327181;340159.08376283373;151113.73488801843
1476;5070;G32;420961.9949027375;442289.42022453755;406079.2515083137;180398.39382545106
1478;5100;G27;311034.0946087252;326792.1832381606;300037.7560484043;133290.06364418133
1484;5100;G32;445231.79102549906;467788.8101601636;429491.01020179735;190798.9342353494
1486;5130;G27;360906.146118524;379190.9294783613;348146.62476697436;154662.1544696882
1493;5130;G32;398310.1849281516;418489.98934477184;384228.2764769129;170691.222664789
1495;5160;G27;365760.1052721649;384290.80739098246;352828.9764372667;156742.2625212796
1502;5160;G32;460935.77708569256;484288.4157632347;444639.7955606604;197528.69582005194
1504;5190;G27;324834.5669277291;341291.8363534194;313350.32473066053;139204.09643223888
1510;5190;G32;396025.9687932811;416090.04673191713;382024.8168070067;169712.34826075635
1512;5220;G27;365474.578388265;383990.8147040707;352553.54410678666;156619.9032777535
1518;5220;G32;456557.69619007054;479688.5257863066;440416.4978885088;195652.5198916511
1520;5250;G27;344440.7549164117;361891.3432526854;332263.3530794906;147606.10151826902
1526;5250;G32;496055.59976044967;521187.5330167906;478517.9876006928;212578.88961112007
1528;5280;G27;334637.6610993489;351591.58998931246;322806.83907608653;143405.0990512246
1534;5280;G32;467217.37136794714;490888.2578554551;450699.3095673968;200220.60039315643
1536;5310;G27;358336.4030997536;376490.9941785948;345667.73276658816;153560.92082212947
