# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  4.600     14.529      0.029     -0.641      0.009    -0.073     -0.519      2.439
  4.650     14.706      0.028     -0.632      0.007    -0.074     -0.736      2.210
  4.700     14.849      0.034     -0.630      0.005    -0.076     -0.920      2.073
  4.750     15.034      0.042     -0.628      0.004    -0.078     -1.090      1.842
  4.800     15.437      0.060     -0.597      0.003    -0.091     -1.553      1.115
  4.850     15.605      0.065     -0.611      0.002    -0.091     -1.661      1.012
  4.900     15.792      0.071     -0.625      0.000    -0.091     -1.757      0.893
  4.950     15.909      0.076     -0.648     -0.002    -0.087     -1.885      0.979
  5.000     16.110      0.081     -0.661     -0.004    -0.087     -2.019      0.969
  5.050     16.330      0.086     -0.675     -0.007    -0.087     -2.121      0.850
  5.100     16.567      0.091     -0.687     -0.009    -0.087     -2.214      0.673
  5.150     16.820      0.094     -0.699     -0.011    -0.087     -2.293      0.466
  5.200     17.303      0.113     -0.737     -0.015    -0.092     -2.181     -0.284
  5.250     17.699      0.092     -0.757     -0.023    -0.087     -2.538     -0.397
  5.300     17.971      0.097     -0.773     -0.025    -0.088     -2.555     -0.624
  5.350     18.248      0.101     -0.789     -0.027    -0.088     -2.567     -0.824
  5.400     18.517      0.102     -0.803     -0.030    -0.089     -2.594     -0.995
  5.450     19.009      0.085     -0.814     -0.036    -0.091     -2.858     -1.419
  5.500     19.228      0.088     -0.831     -0.037    -0.092     -2.806     -1.413
  5.550     19.452      0.093     -0.842     -0.038    -0.093     -2.732     -1.521
  5.600     19.678      0.098     -0.853     -0.039    -0.094     -2.654     -1.613
  5.650     19.891      0.103     -0.862     -0.041    -0.094     -2.554     -1.645
  5.700     20.090      0.108     -0.871     -0.042    -0.095     -2.443     -1.623
  5.750     20.228      0.115     -0.880     -0.043    -0.095     -2.298     -1.467
  5.800     20.328      0.122     -0.889     -0.044    -0.094     -2.119     -1.229
  5.850     20.425      0.130     -0.896     -0.045    -0.093     -1.960     -0.955
  5.900     20.509      0.138     -0.899     -0.046    -0.092     -1.810     -0.629
  5.950     20.582      0.147     -0.898     -0.047    -0.090     -1.695     -0.323
  6.000     20.684      0.156     -0.900     -0.048    -0.090     -1.578     -0.136
  6.050     20.876      0.164     -0.903     -0.050    -0.090     -1.521     -0.156
  6.100     21.116      0.172     -0.906     -0.052    -0.091     -1.489     -0.315
  6.150     21.457      0.172     -0.929     -0.054    -0.098     -1.536     -0.655
  6.200     21.664      0.182     -0.923     -0.055    -0.097     -1.317     -1.138
  6.250     21.841      0.192     -0.913     -0.056    -0.096     -1.026     -1.670
  6.300     21.988      0.201     -0.901     -0.057    -0.095     -0.639     -2.318
  6.350     22.106      0.209     -0.886     -0.057    -0.094     -0.173     -3.018
  6.400     22.227      0.215     -0.869     -0.057    -0.094      0.198     -3.525
