# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
 19.150     20.491     -0.429     -0.523     -0.026    -0.147     -5.264      1.806
 19.200     20.968     -0.449     -0.534     -0.029    -0.144     -5.159      1.356
 19.250     21.429     -0.469     -0.540     -0.033    -0.141     -5.068      1.044
 19.300     21.757     -0.491     -0.554     -0.039    -0.132     -4.822      1.160
 19.350     22.216     -0.509     -0.563     -0.043    -0.130     -4.738      0.858
 19.400     23.046     -0.580     -0.462     -0.057    -0.120     -4.226      0.086
 19.450     23.501     -0.607     -0.459     -0.064    -0.115     -4.070     -0.157
 19.500     24.114     -0.638     -0.447     -0.073    -0.110     -4.165     -0.562
 19.550     24.566     -0.653     -0.447     -0.080    -0.106     -4.188     -0.630
 19.600     24.967     -0.646     -0.473     -0.086    -0.102     -4.006     -1.075
 19.650     24.733     -0.782     -0.308     -0.087    -0.066     -4.623     -0.265
 19.700     24.929     -0.814     -0.291     -0.089    -0.054     -4.613     -0.620
 19.750     25.191     -0.843     -0.272     -0.092    -0.043     -4.507     -1.156
 19.800     25.375     -0.858     -0.272     -0.091    -0.037     -4.405     -1.526
 19.850     25.613     -0.874     -0.261     -0.090    -0.032     -4.190     -2.130
 19.900     25.858     -0.887     -0.247     -0.089    -0.028     -3.917     -2.769
 19.950     26.663     -0.887     -0.148     -0.085    -0.043     -2.917     -5.135
 20.000     26.869     -0.911     -0.115     -0.083    -0.040     -2.398     -5.739
 20.050     27.010     -0.927     -0.102     -0.083    -0.037     -1.890     -6.181
 20.100     27.132     -0.939     -0.095     -0.082    -0.032     -1.360     -6.744
 20.150     27.216     -0.951     -0.089     -0.082    -0.028     -0.744     -7.335
 20.200     27.262     -0.963     -0.084     -0.081    -0.023     -0.036     -7.938
 20.250     27.756     -0.980     -0.109     -0.086    -0.024      0.353     -9.349
 20.300     27.657     -0.990     -0.099     -0.084    -0.019      1.359    -10.082
 20.350     27.465     -0.997     -0.089     -0.082    -0.015      2.483    -10.526
 20.400     27.143     -1.007     -0.069     -0.080    -0.008      3.746    -11.328
 20.450     26.686     -1.014     -0.045     -0.076     0.000      5.123    -11.817
 20.500     26.120     -1.021     -0.024     -0.073     0.008      6.595    -12.455
 20.550     25.456     -1.030      0.000     -0.069     0.016      8.219    -13.262
 20.600     23.955     -1.040     -0.007     -0.063     0.045     10.070    -12.087
 20.650     23.173     -1.044      0.023     -0.060     0.049     11.566    -12.553
 20.700     21.370     -1.014     -0.002     -0.055     0.078     12.244     -8.510
 20.750     20.643     -1.025      0.043     -0.053     0.076     13.344     -8.975
 20.800     19.869     -1.035      0.086     -0.050     0.074     14.543     -9.522
 20.850     19.038     -1.043      0.129     -0.048     0.072     15.888    -10.199
 20.900     18.129     -1.050      0.171     -0.046     0.069     17.439    -11.057
 20.950     17.115     -1.056      0.212     -0.044     0.067     19.292    -12.177
 21.000     15.997     -1.061      0.253     -0.043     0.064     21.260    -13.219
