;w;S;Dlat;Dlon;t;sTEC
100;0.31996867285831576;1.7111403666633858;0.055187049527151366;0.09229898161611771;0.041666666670000296;115.99457017543858
101;0.38098003982133033;1.7167672466167616;0.05567523674285679;0.09268209243857006;0.03333333333999988;116.21557017543856
102;0.4474437124772827;1.7224527140822343;0.05616683727700211;0.09307124336268302;0.025000000000000355;116.30957017543858
103;0.511059585646661;1.728197070564295;0.05666190322807896;0.09346650963712055;0.01666666666999994;116.44257017543856
104;0.5582466304896108;1.7340006138571942;0.05716046301215172;0.09386799508496702;0.008333333339999527;116.56057017543856
105;0.5747578022519225;1.7398632886442997;0.057662561591860007;0.0942757284768958;0.0;116.68357017543858
106;0.5544781264734832;1.745785728615796;0.058168271702616625;0.09468982424882877;-0.008333333330000414;116.78957017543857
107;0.5041828542764385;1.7517685725145131;0.05867765516766488;0.09511041312952462;-0.01666666666000083;116.90457017543858
108;0.4384432158224235;1.7578117510835713;0.05919074620554321;0.09553754138592052;-0.025000000000000355;116.99057017543856
109;0.3707966207026725;1.7639158978210285;0.059707607744861946;0.09597134342253555;-0.03333333333000077;117.12257017543857
110;0.3093142826184511;1.770080927655949;0.06022827434289246;0.09641186794098444;-0.04166666665999941;117.20257017543858
111;0.25705221756547947;1.7763074675153783;0.060752822489806846;0.09685923851253064;-0.05000000000000071;117.31457017543858
