;0
(w*S*I);114941.09739201012
(w*S*I*lat);277.38237014332526
(w*S*I*lat^2);346.0647518711959
(w*S*I*lon);-2607.710414074833
(w*S*I*lon^2);1238.9838076777803
(w*S*I*t);23075.76045561388
(w*S*I*t^2);31861.266825047423
