1;2;3;4;5;6;7;8;9;10;11;12;b
1383.77904;4.273153128;4.984339003;-42.20570491;16.14736153;252.8555966;380.2777513;168.0438325;168.0438325;168.0438325;168.0438325;168.0438325;114941.0974
4.273153128;4.984339003;0.026245925;-4.694986291;0.457680586;16.82035302;9.221562024;11.82742325;-11.79981675;1.930656717;1.741845388;-2.55823156;277.3823701
4.984339003;0.026245925;0.05955802;-0.250358182;0.081175914;1.094005227;2.075032166;1.037371761;1.043698774;0.02581105;0.089162732;0.14004148;346.0647519
-42.20570491;-4.694986291;-0.250358182;16.14736153;-1.52713268;-12.77628994;-15.05678715;-25.72610581;9.825997978;5.547302248;15.15252889;-18.96235951;-2607.710414
16.14736153;0.457680586;0.081175914;-1.52713268;0.292428146;2.589367661;4.823875592;3.956920477;0.621310228;0.244670756;1.3699338;2.189489491;1238.983808
252.8555966;16.82035302;1.094005227;-12.77628994;2.589367661;380.2777513;246.9484942;35.31627024;35.31627024;35.31627024;35.31627024;35.31627024;23075.76046
380.2777513;9.221562024;2.075032166;-15.05678715;4.823875592;246.9484942;279.1862938;47.02187081;47.02187081;47.02187081;47.02187081;47.02187081;31861.26683
168.0438325;11.82742325;1.037371761;-25.72610581;3.956920477;35.31627024;47.02187081;77.70442371;0;0;0;0;11885.62344
168.0438325;-11.79981675;1.043698774;9.825997978;0.621310228;35.31627024;47.02187081;0;105.7230563;0;0;0;13527.2057
168.0438325;1.930656717;0.02581105;5.547302248;0.244670756;35.31627024;47.02187081;0;0;149.3533941;0;0;16660.37938
168.0438325;1.741845388;0.089162732;15.15252889;1.3699338;35.31627024;47.02187081;0;0;0;110.0189975;0;15742.55689
168.0438325;-2.55823156;0.14004148;-18.96235951;2.189489491;35.31627024;47.02187081;0;0;0;0;98.39971082;14256.75111
