Time;L1C;L2C;sTec;Azimuth;Elevation;Lat;Lon;vTec;sTec Trend;sTec-Trend;vTec Trend;vTec-Trend;
2022-06-17 03:46:00;110020619.008;85571617.411;-58.24923773062177;321.86077414906896;45.02428501283111;44.72443302462001;76.00106417323266;-33.46165877471475;;;;;
2022-06-17 03:46:30;109932497.845;85503078.771;-58.34847162569619;321.7877614537929;45.27671652685526;44.703411321171224;76.01904095442575;-33.668697917063575;;;;;
2022-06-17 03:47:00;109844833.358;85434895.316;-58.4302549229958;321.7123647753835;45.529162971783194;44.68248478333136;76.03678426907803;-33.86612801381161;;;;;
2022-06-17 03:47:30;109757629.419;85367070.094;-58.58001735669082;321.6345471153256;45.78161537763224;44.66165213677961;76.05429696706335;-34.10354101860226;;;;;
2022-06-17 03:48:00;109670888.683;85299605.093;-58.6172625866043;321.5542706951546;46.03406456109403;44.640912121042;76.07158185079584;-34.27590937769766;;;;;
2022-06-17 03:48:30;109584618.408;85232506.005;-58.65190322911553;321.4714969389887;46.28650112012159;44.62026348927564;76.08864167613532;-34.44690995986896;;;;;
2022-06-17 03:49:00;109498820.469;85165774.284;-58.67378163272789;321.3861864557314;46.538915428358735;44.59970500805482;76.10547915327342;-34.61052246179519;;;;;
2022-06-17 03:49:30;109413498.757;85099413.008;-58.80400976971146;321.29829902094696;46.79129762940678;44.57923545715896;76.12209694760047;-34.838392696228325;;;;;
2022-06-17 03:50:00;109328657.462;85033425.343;-58.824846251318476;321.20779355841023;47.043637630923854;44.55885362936246;76.13849768055378;-35.001786854345426;;;;;
2022-06-17 03:50:30;109244299.489;84967813.604;-58.86651932333803;321.1146281213336;47.295925098551606;44.53855833022669;76.1546839304477;-35.177675797392126;;;;;
2022-06-17 03:51:00;109160428.025;84902580.284;-58.962367189506175;321.01875987327657;47.5481494496644;44.518348377893645;76.17065823328575;-35.38621891156492;;;;;
2022-06-17 03:51:30;109077047.503;84837728.797;-59.032950913303836;320.92014506874193;47.80029984693557;44.498222602881796;76.18642308355547;-35.579944929461305;;;;;
2022-06-17 03:52:00;108994161.449;84773261.867;-59.035034539703425;320.8187390334654;48.052365191715545;44.478179847883865;76.20198093500615;-35.732480470077036;;;;;
2022-06-17 03:52:30;108911773.998;84709182.773;;320.7144961444075;48.304334117216314;44.45821896756652;76.2173342014099;;;;;;
2022-06-17 03:53:00;108829888.085;84645493.725;-59.10535778299975;320.6073698094553;48.55619498149663;44.43833882837218;76.23248525730648;-36.07765539395582;;;;;
2022-06-17 03:53:30;108748507.86;84582198.036;-59.20276842337036;320.49731244684614;48.807935860242495;44.41853830832277;76.24743643873222;-36.288494789339886;;;;;
2022-06-17 03:54:00;108667636.646;84519298.219;-59.240534578018;320.38427546432547;49.059544539336834;44.398816296825416;76.26219004393336;-36.46299176632122;;;;;
